timestamp,x,y,z,gx,gy,gz
180564890.0,-4.8767467,-1.8090385,8.947083,-0.98,3.5,-3.99
180564909.2,-4.9102473,-2.1584032,8.688649,-1.82,2.8,-4.69
180564928.5,-4.7834234,-2.3067634,8.681471,-0.63,-0.7,-2.59
180564947.8,-4.637456,-2.3211207,8.714972,2.24,-3.71,1.61
180564967.0,-4.44363,-2.1368668,8.793938,5.39,-5.18,5.88
180564986.2,-4.83846,-1.665464,8.868117,6.09,-4.83,7.0
180565005.5,-4.840853,-1.6463208,8.825045,3.85,-4.27,4.48
180565024.8,-4.481917,-1.8473251,8.681471,1.19,-3.85,1.54
180565045.0,-4.532168,-1.5601761,8.913583,-1.54,0.0,-2.52
180565064.5,-4.505846,-1.8880045,8.825045,-4.62,3.43,-5.11
180565084.0,-4.7475295,-1.5506045,9.066729,-7.35,6.44,-6.7200003
180565103.5,-4.8958898,-2.163189,8.726935,-10.43,7.0,-7.77
180565123.0,-5.022714,-1.9813279,8.810688,-9.87,3.5,-5.88
180565142.5,-4.905462,-2.340264,8.753258,-8.05,-1.6800001,-3.57
180565162.0,-4.716422,-2.1368668,8.786758,-5.81,-4.2,-1.4
180565181.5,-4.6207056,-2.2301903,8.789151,-2.94,-5.04,0.42000002
180565201.0,-4.630277,-1.8975761,8.817866,-1.33,-5.11,1.05
180565220.5,-4.788209,-2.1272953,8.753258,-1.33,-3.85,0.07
180565240.0,-4.8312817,-2.1775463,8.750865,-0.42000002,-4.06,0.14
180565259.5,-4.730779,-1.5482116,8.884868,1.6800001,-3.29,-0.35
180565278.0,-4.891104,-2.0172215,9.028442,0.35,-2.59,-3.43
180565297.2,-4.993999,-1.9861137,8.805902,0.07,-5.18,-3.78
180565316.5,-4.685314,-2.2541194,8.772401,0.07,-5.7400002,-2.24
180565335.8,-4.682921,-2.0722585,8.801116,0.63,-7.35,-1.05
180565355.0,-4.6733494,-2.1895108,8.846581,2.17,-9.24,0.84000003
180565374.2,-4.6733494,-2.7159507,8.59054,5.95,-12.04,4.69
180565393.5,-4.3885937,-2.2828343,8.552254,11.34,-14.91,10.22
180565412.8,-3.9626558,-2.421623,8.846581,15.47,-14.21,13.02
180565433.0,-4.381415,-1.7109293,9.009299,18.06,-12.18,13.51
180565452.5,-4.431666,-1.5314612,8.918368,14.77,-10.43,11.06
180565472.0,-4.4651666,-1.1150951,9.514202,9.38,-6.93,5.6
180565491.5,-4.3335567,-1.457281,9.040407,7.56,-4.69,3.64
180565510.0,-4.398165,-1.6822144,9.02605,6.23,-3.57,3.22
180565529.2,-4.424487,-1.6343563,9.083479,5.67,-3.78,3.57
180565548.5,-4.4173083,-1.8377534,8.89444,8.33,-5.67,5.32
180565567.8,-4.2976627,-1.4979604,9.128944,9.1,-8.4,6.93
180565588.0,-4.321592,-1.328064,9.461558,7.7,-8.4,7.07
180565607.5,-4.36945,-1.1533817,9.468738,7.28,-5.32,5.53
180565627.0,-4.271341,-1.1749178,9.15048,4.69,-3.08,3.15
180565646.5,-4.42688,-1.715715,9.186374,3.85,-1.82,1.26
180565666.0,-4.479524,-1.6678569,9.253376,9.8,-4.13,4.76
180565685.5,-4.3550925,-1.1270597,9.014085,11.06,-5.53,6.3
180565705.0,-4.3838077,-1.2586696,9.052371,8.4,-5.67,5.88
180565724.5,-4.0775156,-1.2155973,9.172017,5.32,-4.62,5.81
180565743.0,-4.0799084,-1.1079165,9.13373,4.76,-2.52,4.83
180565762.2,-4.3550925,-1.3902797,9.152873,6.23,-1.89,4.41
180565781.5,-3.9698346,-0.8351249,8.942298,7.07,-2.52,4.76
180565800.8,-4.1851964,-1.2825987,9.219875,5.11,-1.82,3.29
180565821.0,-4.381415,-1.1773108,9.286877,3.64,-1.19,1.61
180565840.5,-4.036836,-1.1605604,9.01887,3.71,-0.91,1.75
180565860.0,-4.166053,-1.1892753,9.045193,2.94,-1.96,1.82
180565879.5,-4.2067323,-1.0887731,9.15048,1.33,-2.66,1.33
180565898.0,-4.268948,-1.4955676,9.0571575,1.82,-3.15,1.61
180565917.2,-4.0775156,-0.48815325,9.463951,2.45,-3.64,1.6800001
180565936.5,-4.175625,-0.8901618,9.274912,0.07,-1.89,-0.07
180565955.8,-4.192375,-0.8255533,9.217482,-2.38,-1.19,-1.6800001
180565976.0,-4.2904844,-1.0648441,9.274912,-3.15,-1.4,-1.82
180565995.5,-4.187589,-1.1462029,9.200731,-4.48,-0.28,-1.89
180566015.0,-4.2067323,-1.1797037,9.188767,-5.95,0.56,-2.31
180566034.5,-4.0440145,-1.0815945,9.172017,-7.63,0.77,-2.66
180566053.0,-4.3909864,-1.2203832,9.243804,-9.7300005,1.6800001,-3.15
180566072.2,-4.249805,-1.2993491,9.126552,-10.08,1.82,-2.8700001
180566091.5,-4.213911,-1.2347406,9.272519,-9.59,2.24,-2.59
180566110.8,-4.249805,-1.2443122,9.224661,-10.08,3.43,-2.8700001
180566130.0,-4.2737336,-1.3089207,9.15766,-11.9,5.81,-3.64
180566149.2,-4.182803,-1.4357449,9.014085,-10.78,5.25,-3.57
180566168.5,-4.2043395,-1.5458187,9.009299,-8.61,3.92,-3.29
180566187.8,-4.307235,-1.5123179,8.975799,-6.65,2.24,-2.8700001
180566208.0,-4.2545905,-1.3950654,9.1983385,-5.46,1.12,-2.31
180566227.5,-4.16366,-1.4118158,9.016478,-6.93,2.38,-3.5
180566247.0,-4.292877,-1.588891,9.105016,-7.98,3.22,-4.2
180566266.5,-4.264162,-1.5075321,9.023657,-7.7,2.73,-4.2
180566286.0,-4.407737,-1.6941789,9.076301,-7.07,2.8,-4.2
180566305.5,-4.393379,-1.9932925,8.827438,-5.25,1.82,-3.15
180566325.0,-4.1780176,-1.9478272,8.851367,-1.96,0.14,-0.98
180566344.5,-4.331164,-1.7085364,9.038013,0.84000003,0.98,0.77
180566364.0,-4.448416,-1.6104271,9.274912,3.3600001,3.92,1.12
180566383.5,-4.508239,-1.6893932,9.160052,3.5,6.3,0.84000003
180566403.0,-4.5178103,-1.902362,9.035621,4.41,5.7400002,2.66
180566422.5,-4.481917,-1.691786,9.00212,5.53,5.32,4.34
180566441.0,-4.376629,-1.483603,9.164838,6.44,7.63,4.69
