timestamp,x,y,z,gx,gy,gz
180714389.0,-4.5919905,-1.2849916,8.980584,0.98,-1.26,1.33
180714408.5,-4.582419,-1.2682413,9.009299,1.4,-1.4,1.47
180714428.0,-4.5393467,-1.0457008,9.045193,1.4,-1.33,1.61
180714447.5,-4.5417395,-1.1533817,8.999727,0.98,-1.05,1.26
180714466.0,-4.580026,-1.1892753,9.035621,0.84000003,-0.91,1.26
180714485.2,-4.5154176,-1.014593,9.112194,0.21000001,-0.28,0.77
180714504.5,-4.544132,-1.2538838,8.975799,-0.98,1.54,-0.07
180714523.8,-4.618313,-1.2323477,9.030835,-0.77,1.6800001,0.14
180714543.0,-4.582419,-1.2706342,8.961441,-0.42000002,0.91,0.49
180714562.2,-4.5537043,-1.1892753,8.98537,-0.21000001,0.0,0.84000003
180714581.5,-4.536954,-1.1007377,9.030835,-0.21000001,-0.42000002,0.77
180714600.8,-4.5393467,-1.1797037,9.01887,-0.35,-0.77,0.7
180714621.0,-4.563276,-1.1462029,9.01887,-0.35,-1.26,0.63
180714640.5,-4.5776334,-1.1318455,9.004513,-0.56,-1.33,0.35
180714660.0,-4.544132,-1.1390243,8.994942,-1.05,-0.98,0.07
180714679.5,-4.6015625,-1.1414171,9.076301,-1.47,-0.98,-0.07
180714699.0,-4.5393467,-1.170132,9.030835,-1.75,-0.63,-0.28
180714718.5,-4.5417395,-1.0504867,9.107409,-2.17,-0.28,-0.49
180714738.0,-4.5393467,-1.1797037,9.01887,-2.52,-0.14,-0.42000002
180714757.5,-4.608741,-1.3400285,8.975799,-1.89,-0.35,-0.28
180714777.0,-4.556097,-1.2538838,8.990156,-0.98,-0.91,0.28
180714796.5,-4.5417395,-1.1414171,9.030835,-0.63,-1.26,0.42000002
180714816.0,-4.55849,-1.2371335,8.990156,-0.7,-1.19,0.28
180714835.5,-4.551311,-1.2754201,9.00212,-0.42000002,-1.12,0.14
180714854.0,-4.5202036,-1.1605604,9.004513,-0.28,-1.05,0.35
180714873.2,-4.5680614,-1.2323477,9.073908,-0.56,-0.84000003,0.42000002
180714892.5,-4.5943837,-1.2682413,9.0069065,-0.28,-1.05,0.56
180714911.8,-4.5345607,-1.1581675,9.023657,0.07,-1.4,0.91
180714931.0,-4.5776334,-1.1533817,9.05955,-0.42000002,-1.47,0.56
180714950.2,-4.5919905,-1.2323477,8.98537,-0.91,-1.26,0.21000001
180714969.5,-4.560883,-1.2012398,8.975799,-0.7,-1.54,0.35
180714988.8,-4.5034533,-1.1007377,9.05955,-1.05,-1.61,0.35
180715009.0,-4.551311,-1.196454,9.045193,-1.61,-1.19,-0.14
180715028.5,-4.527382,-1.1797037,9.004513,-1.47,-1.26,-0.07
180715048.0,-4.5178103,-1.170132,9.0069065,-1.54,-1.26,-0.14
180715067.5,-4.5489182,-1.1773108,8.999727,-1.6800001,-1.05,-0.21000001
180715086.0,-4.5417395,-1.1629534,9.01887,-1.96,-0.56,-0.35
180715105.2,-4.276127,-1.2275618,8.889653,-2.31,0.0,-0.28
180715124.5,-4.5776334,-1.14381,8.975799,-2.73,0.91,-0.7
180715143.8,-4.6422415,-1.3352427,9.004513,-3.01,1.05,-1.12
180715164.0,-4.477131,-1.2036327,9.028442,-3.01,0.84000003,-0.91
180715183.5,-4.580026,-1.328064,9.030835,-2.73,1.19,-0.7
180715203.0,-4.6470275,-1.2490981,8.925548,-2.66,1.12,-0.7
180715222.5,-4.6207056,-1.2490981,9.016478,-1.75,0.63,-0.07
180715242.0,-4.5680614,-1.2395264,9.0428,-1.47,0.21000001,0.21000001
180715261.5,-4.5704546,-1.1605604,8.963834,-1.61,0.0,-0.07
180715281.0,-4.5202036,-1.222776,8.9973345,-1.89,0.0,-0.28
180715300.5,-4.5919905,-1.2634555,8.992549,-1.82,0.21000001,-0.07
180715319.0,-4.580026,-1.3759222,8.944691,-1.47,0.07,0.07
180715338.2,-4.5178103,-1.2873845,8.956655,-0.98,0.0,0.14
180715357.5,-4.556097,-1.2132044,9.045193,-0.98,-0.28,0.28
180715376.8,-4.5178103,-1.3472073,8.930333,-1.26,-0.35,0.28
180715397.0,-4.6039553,-1.3184924,8.937511,-0.91,0.21000001,0.35
180715416.5,-4.587205,-1.2347406,9.023657,-0.7,0.21000001,0.49
180715436.0,-4.613527,-1.1916683,9.035621,-0.63,0.35,0.56
180715455.5,-4.606348,-1.2371335,9.033228,-0.77,0.28,0.35
180715474.0,-4.6757426,-1.2706342,8.982977,-0.7,-0.49,0.56
180715493.2,-4.663778,-1.3113136,9.009299,-0.49,-0.91,0.84000003
180715512.5,-4.560883,-1.3113136,8.987762,-0.35,-1.12,0.91
180715531.8,-4.587205,-1.2299547,9.016478,-0.14,-0.91,0.7
180715552.0,-4.6900997,-1.251491,8.959048,-0.42000002,-1.05,0.63
180715571.5,-4.625491,-1.3089207,8.982977,-0.35,-1.4,0.49
180715591.0,-4.5943837,-1.2634555,8.987762,-0.14,-1.6800001,0.56
180715610.5,-4.6207056,-1.301742,8.982977,-0.07,-1.89,0.7
180715629.0,-4.606348,-1.2658484,9.014085,0.0,-1.75,0.91
180715648.2,-4.5919905,-1.2275618,8.999727,-0.07,-1.6800001,0.77
180715667.5,-4.5680614,-1.14381,9.0069065,-0.35,-1.54,0.56
180715686.8,-4.5202036,-1.3232782,8.966227,-0.63,-1.4,0.35
180715707.0,-4.6230984,-1.2443122,8.963834,-0.63,-1.33,0.42000002
