timestamp,x,y,z,gx,gy,gz
180107053.0,-9.803744,-2.1727605,-1.2036327,9.1,27.72,-8.61
180107072.2,-10.157895,-2.0985804,-1.6319634,7.7,26.95,-5.88
180107091.5,-10.066964,-1.8162172,-1.849718,4.2,20.02,-4.27
180107110.8,-10.476151,-2.108152,-2.0028641,-0.91,8.12,-3.64
180107130.0,-10.217717,-1.9908996,-1.9358627,-5.67,-4.13,-1.05
180107149.2,-9.84921,-1.849718,-1.7037506,-9.24,-12.32,-1.54
180107168.5,-9.466345,-2.2110472,-1.304135,-9.17,-13.02,-3.22
180107187.8,-9.356271,-2.2804415,-1.2490981,-6.79,-6.23,-4.55
180107208.0,-9.612311,-2.3857293,-1.3496002,-3.71,1.6800001,-4.69
180107227.5,-9.490273,-2.268477,-1.3735292,-1.33,7.42,-3.92
180107247.0,-9.530953,-2.1823323,-1.4357449,0.56,11.13,-5.53
180107266.5,-10.066964,-2.5197322,-1.4692456,1.54,12.32,-5.32
180107286.0,-10.342149,-2.5077677,-1.9502201,1.82,4.55,0.21000001
180107305.5,-9.636241,-2.3474429,-1.6558924,0.49,-3.15,2.8
180107325.0,-9.648206,-2.1201165,-1.4453164,0.63,-3.71,3.5
180107344.5,-9.507024,-1.9334698,-1.5075321,0.63,-1.4,1.26
180107364.0,-9.447201,-2.0722585,-1.430959,0.84000003,1.61,-1.96
180107383.5,-9.818102,-2.0459363,-1.7276796,0.56,2.17,-4.69
180107403.0,-9.8922825,-2.08183,-1.8784329,-0.14,-2.59,-5.7400002
180107422.5,-9.789387,-2.4551237,-1.5769265,-1.12,-7.84,-4.97
180107441.0,-9.480701,-2.3976939,-1.3926725,-1.54,-6.51,-2.8700001
180107460.2,-9.423272,-2.0435436,-1.5218896,-1.33,-2.59,-3.29
180107479.5,-9.516596,-2.165582,-1.4501023,-2.94,0.21000001,-6.09
180107498.8,-9.736743,-2.340264,-1.6032485,-4.2,0.56,-8.4
180107518.0,-9.88271,-2.5819478,-1.7492158,-4.41,-2.03,-7.21
180107537.2,-9.736743,-2.7350938,-1.4931747,-3.3600001,-3.5,-3.71
180107556.5,-9.4998455,-2.6250203,-1.4094229,-0.42000002,-0.84000003,0.21000001
180107575.8,-9.377807,-2.2493336,-1.2706342,2.38,4.55,2.38
180107596.0,-9.432844,-2.263691,-1.3424214,4.34,9.87,0.56
180107615.5,-9.798959,-2.4814458,-1.6941789,5.11,11.83,-0.35
180107635.0,-9.820495,-2.5412683,-1.8377534,3.92,9.52,1.05
180107654.5,-9.949712,-2.3474429,-1.8281817,2.03,3.85,3.01
180107673.0,-9.56924,-2.0937946,-1.7276796,-0.14,-1.82,1.19
180107692.2,-9.559668,-2.3976939,-1.5003533,-2.1,-4.13,-2.1
180107711.5,-9.607526,-2.6752713,-1.4261732,-1.89,-2.1,-2.8700001
180107730.8,-9.667349,-2.1153307,-1.8903974,-0.28,-1.6800001,-3.01
180107751.0,-9.786994,-2.060294,-1.720501,-1.54,-2.45,-3.64
180107770.5,-9.722385,-2.656128,-1.5553902,-3.01,-1.89,-2.03
180107790.0,-9.490273,-2.390515,-1.5793194,-2.8,-0.28,-1.75
180107809.5,-9.576418,-2.4000869,-1.5936768,-2.52,-0.7,-4.06
180107829.0,-9.39695,-2.782952,-1.5482116,-2.8,-1.47,-4.76
180107848.5,-9.6410265,-2.9743848,-1.5721406,-1.4,0.35,-0.35
180107868.0,-9.4998455,-2.474267,-1.5721406,0.84000003,2.94,3.85
180107887.5,-9.554882,-2.0172215,-1.6415349,1.89,5.46,1.05
180107906.0,-9.631455,-2.4910173,-1.6008555,1.82,8.4,-1.89
180107925.2,-9.619491,-2.502982,-1.7635733,2.1,9.66,-2.8700001
180107944.5,-9.755886,-2.5436614,-1.8712541,2.24,7.63,-3.22
180107963.8,-9.719993,-2.6848428,-1.8688612,1.33,3.5,-2.45
180107984.0,-9.593168,-2.5915194,-1.7540016,-0.35,0.07,-0.14
180108003.5,-9.416093,-2.3785505,-1.7683591,-1.12,-0.28,0.0
180108023.0,-9.30602,-2.5675905,-1.5482116,-0.84000003,2.8700001,-1.4
180108042.5,-9.684099,-2.5173392,-1.8568966,0.0,5.6,-2.17
180108061.0,-9.7176,-2.4551237,-1.7061435,-1.19,4.41,-2.17
180108080.2,-9.581204,-2.526911,-1.8975761,-2.8,1.33,-2.31
180108099.5,-9.461558,-2.5293038,-1.7228938,-3.15,-0.77,-2.66
180108118.8,-9.621883,-2.4335876,-1.8257889,-2.73,-0.42000002,-3.3600001
180108139.0,-9.597955,-2.7207365,-1.7563945,-1.47,1.75,-2.66
180108158.5,-9.595561,-2.7566302,-1.7827165,0.21000001,2.52,-1.12
180108178.0,-9.533346,-2.711165,-1.8401463,0.77,2.38,0.0
180108197.5,-9.578811,-2.553233,-1.7946811,1.26,2.59,0.98
180108216.0,-9.547704,-2.5340896,-1.87604,1.19,2.31,0.84000003
180108235.2,-9.576418,-2.4790528,-1.8449322,0.14,1.12,0.56
180108254.5,-9.609919,-2.5293038,-1.9286839,-0.91,-0.56,0.21000001
180108273.8,-9.526167,-2.5867336,-1.7659662,-1.4,-1.96,0.28
180108293.0,-9.459166,-2.579555,-1.7875023,-0.56,-0.7,0.77
180108312.2,-9.4137,-2.5484471,-1.746823,0.14,1.96,0.28
180108331.5,-9.686492,-2.6441634,-2.00765,0.42000002,2.17,0.35
180108350.8,-9.672134,-2.6920216,-2.0220072,0.21000001,0.42000002,1.89
180108371.0,-9.442415,-2.5723763,-1.7109293,0.42000002,0.63,3.3600001
180108390.5,-9.358664,-2.4910173,-1.7061435,1.61,3.92,3.15
180108410.0,-9.502238,-2.390515,-1.9837208,1.96,6.09,1.54
180108429.5,-9.69367,-2.1440456,-2.215833,0.7,3.92,-1.33
180108449.0,-9.559668,-2.5484471,-1.9597918,-0.21000001,0.98,-2.8700001
180108468.5,-9.425665,-2.6202343,-1.8162172,0.0,1.19,-2.45
180108488.0,-9.475916,-2.5197322,-1.899969,0.77,3.78,-2.59
180108507.5,-9.475916,-2.68245,-1.9310769,1.47,5.67,-3.29
180108527.0,-9.650599,-2.6609137,-2.0674727,1.33,5.88,-2.52
180108546.5,-9.629062,-2.5580187,-2.084223,1.12,5.04,-1.19
180108566.0,-9.509417,-2.526911,-2.1368668,0.49,3.43,-1.4
180108585.5,-9.54531,-2.6992004,-1.6989647,0.7,4.13,-1.54
180108604.0,-9.507024,-2.677664,-1.9693633,2.03,6.7200003,-0.77
180108623.2,-9.509417,-2.5723763,-2.0244002,2.59,8.61,-0.56
180108642.5,-9.578811,-2.4862316,-2.134474,2.17,7.98,-1.6800001
180108661.8,-9.4495945,-2.6345918,-2.2038684,1.19,5.7400002,-2.24
180108681.0,-9.516596,-2.6537352,-2.1464386,0.42000002,4.55,-2.38
180108700.2,-9.468738,-2.5963054,-2.1153307,-0.21000001,4.2,-2.73
180108719.5,-9.514202,-2.6250203,-2.2589052,-0.98,2.66,-3.5
180108738.8,-9.423272,-2.730308,-2.2110472,-1.4,1.12,-4.2
180108759.0,-9.516596,-2.9337053,-2.2756555,-1.33,-0.63,-3.15
180108778.5,-9.440022,-2.866704,-2.1536174,-0.63,-1.4,-0.98
180108798.0,-9.375414,-2.8499537,-2.108152,0.28,-0.21000001,1.05
180108817.5,-9.47113,-2.6441634,-2.1153307,1.12,0.42000002,1.6800001
180108836.0,-9.382592,-2.6680925,-2.160796,0.77,-0.77,1.19
180108855.2,-9.346699,-2.5388756,-2.134474,-0.77,-2.45,-0.56
180108874.5,-9.43763,-2.7255223,-2.1919038,-1.33,-2.8,-1.89
180108893.8,-9.4495945,-2.7973096,-2.2517266,-1.26,-2.24,-1.26
180108914.0,-9.495059,-2.763809,-2.1990826,-0.77,-1.61,0.28
180108933.5,-9.418487,-2.7709875,-2.215833,0.0,-0.49,1.47
180108953.0,-9.408915,-2.605877,-2.0459363,0.21000001,1.12,1.54
180108972.5,-9.502238,-2.6656997,-2.237369,-0.21000001,1.12,0.7
180108992.0,-9.475916,-2.885847,-2.1177237,-0.49,0.14,1.12
180109011.5,-9.45438,-2.7470584,-2.1512244,0.14,0.35,2.45
180109031.0,-9.361056,-2.5819478,-2.084223,0.77,1.4,2.59
180109050.5,-9.502238,-2.5819478,-2.2852273,0.84000003,1.4,1.54
180109069.0,-9.447201,-2.6369848,-2.1703677,0.42000002,0.42000002,0.49
180109088.2,-9.485488,-2.711165,-2.1942968,-0.14,0.07,-0.42000002
