timestamp,x,y,z,gx,gy,gz
179878930.0,-9.016478,-3.1275308,-2.8523464,0.0,-0.14,2.17
179878949.5,-9.069121,-3.172996,-2.81406,0.42000002,0.56,2.38
179878969.0,-9.049978,-2.998314,-3.0246358,0.28,0.35,2.31
179878988.5,-9.121766,-3.0413861,-3.1203523,-0.49,-1.47,0.84000003
179879007.0,-9.124159,-3.1586387,-2.885847,-1.05,-3.3600001,0.0
179879026.2,-9.061943,-3.2471762,-2.8284173,-1.54,-3.29,0.14
179879045.5,-9.0428,-3.1945324,-2.8571322,-1.19,-1.61,0.91
179879064.8,-9.100229,-3.1059947,-2.9743848,-0.49,-0.63,1.54
179879084.0,-9.138516,-3.0844586,-2.9217408,-0.21000001,-1.54,1.6800001
179879103.2,-9.181588,-3.0868514,-2.9002047,-0.56,-2.94,1.19
179879122.5,-9.155267,-3.1466742,-2.866704,-1.33,-3.71,1.19
179879141.8,-9.073908,-3.1394954,-2.7566302,-0.91,-2.8700001,1.47
179879162.0,-9.102622,-3.0366004,-2.8571322,0.0,-1.4,1.75
179879181.5,-9.073908,-3.0557437,-2.8188457,0.35,-0.07,1.61
179879201.0,-9.243804,-3.2208543,-2.6728783,0.49,0.7,1.75
179879220.5,-9.119372,-3.0270288,-2.9600272,0.77,0.28,1.89
179879240.0,-9.219875,-3.0294216,-2.9743848,0.14,-1.61,1.26
179879259.5,-9.172017,-3.0007067,-2.9600272,-1.12,-3.99,-0.28
179879279.0,-9.02605,-3.0796728,-2.8786685,-1.33,-5.25,-0.7
179879298.5,-9.054764,-3.2304258,-2.7542372,-0.56,-3.78,0.0
179879317.0,-9.487881,-3.6420062,-2.2469406,0.42000002,-1.47,1.4
179879336.2,-9.1480875,-3.0629225,-2.711165,1.4,0.56,2.38
179879355.5,-9.00212,-3.0677083,-2.9911351,1.26,0.07,1.89
179879374.8,-9.67692,-3.7927594,-2.2756555,0.21000001,-1.19,1.26
179879395.0,-9.140909,-3.0413861,-2.8451676,-1.05,-2.45,-0.21000001
179879414.5,-9.011692,-3.0964231,-2.8284173,-0.98,-2.73,-1.26
179879434.0,-9.212696,-3.2471762,-2.730308,1.05,-1.61,-0.42000002
179879453.5,-9.107409,-3.1706033,-2.7901309,4.13,0.07,1.96
179879472.0,-9.167231,-2.835596,-2.8092742,5.81,1.4,2.94
179879491.2,-9.432844,-4.1229806,-2.9002047,5.39,0.49,2.73
179879510.5,-9.004513,-3.1179593,-3.0629225,3.57,-1.33,1.47
179879529.8,-9.188767,-3.072494,-2.7781663,0.21000001,-2.66,-0.21000001
179879550.0,-9.054764,-3.01985,-2.8260245,-2.17,-2.8700001,-1.54
179879569.5,-9.088264,-3.1825678,-2.6752713,-2.03,-0.49,-0.91
179879589.0,-9.162445,-3.1634245,-2.7231295,-1.61,1.96,0.35
179879608.5,-9.138516,-3.046172,-2.7901309,-1.96,2.31,0.49
179879627.0,-9.241411,-3.0868514,-2.68245,-1.96,1.47,0.07
179879646.2,-9.241411,-3.1083877,-2.8164527,-1.75,-0.42000002,0.28
179879665.5,-9.114587,-3.122745,-2.8571322,-2.31,-2.17,0.35
179879684.8,-9.105016,-3.1562457,-2.761416,-2.52,-1.96,0.28
179879705.0,-9.033228,-2.9935281,-2.680057,-2.17,-0.28,0.56
179879724.5,-9.186374,-3.0294216,-2.8020954,-1.75,1.05,0.07
179879744.0,-9.105016,-3.098816,-2.8164527,-0.98,0.98,-0.14
179879763.5,-9.176803,-3.0964231,-2.8308103,0.0,0.63,0.35
179879783.0,-9.207911,-3.1275308,-2.8451676,0.21000001,-0.21000001,0.91
179879802.5,-9.121766,-3.0748868,-2.8475606,-0.49,-0.98,0.77
179879822.0,-9.121766,-3.0318146,-2.7805593,-0.42000002,-0.42000002,0.21000001
179879841.5,-9.081086,-3.072494,-2.7470584,-0.28,-0.14,-0.49
179879860.0,-9.140909,-3.1131735,-2.7997024,0.07,0.0,-0.07
179879879.2,-9.183981,-3.0868514,-2.8547394,0.0,-0.56,0.35
179879898.5,-9.143302,-3.0796728,-2.866704,-0.35,-1.26,0.28
179879917.8,-9.081086,-3.0844586,-2.811667,-1.26,-1.61,-0.42000002
179879938.0,-9.078693,-3.1418884,-2.81406,-0.7,-0.91,-0.63
179879957.5,-9.073908,-3.2711053,-2.761416,0.56,0.35,0.49
179879977.0,-9.1480875,-3.1394954,-2.7805593,0.42000002,0.91,1.6800001
179879996.5,-9.138516,-3.0270288,-2.8834543,0.07,0.35,1.54
179880015.0,-9.162445,-3.1059947,-2.8906329,-0.21000001,-0.91,0.49
179880034.2,-9.114587,-3.1586387,-2.8068812,-0.77,-1.75,0.14
179880053.5,-9.083479,-3.1442811,-2.706379,-0.7,-1.12,0.28
179880072.8,-9.076301,-3.1371026,-2.835596,-0.07,0.63,0.7
179880092.0,-9.179195,-3.0557437,-2.8523464,0.0,1.61,1.19
179880111.2,-9.186374,-3.0366004,-2.9073834,-0.56,0.91,0.98
179880130.5,-9.13373,-3.0868514,-2.8834543,-1.19,-0.98,0.63
179880149.8,-9.131337,-3.0557437,-2.8834543,-1.33,-2.24,0.84000003
179880170.0,-9.136123,-3.0677083,-2.8044882,-0.63,-2.8700001,1.12
179880189.5,-9.107409,-3.125138,-2.7901309,0.21000001,-2.03,0.84000003
179880209.0,-9.078693,-3.1059947,-2.7733805,0.14,-0.35,0.63
179880228.5,-9.13373,-3.1083877,-2.7518444,0.28,1.05,0.91
179880248.0,-9.15766,-2.9791706,-2.7446656,0.49,1.54,1.19
179880267.5,-9.109801,-3.1323166,-2.8236315,0.14,0.63,1.12
179880287.0,-9.179195,-3.0653152,-2.938491,-0.84000003,-0.77,0.21000001
179880306.5,-9.0978365,-3.0892444,-2.8403819,-1.47,-2.03,-0.49
179880326.0,-9.05955,-3.1394954,-2.7135577,-1.61,-1.05,-0.07
179880345.5,-9.11698,-3.0940301,-2.8236315,-1.4,0.63,0.0
179880365.0,-9.138516,-3.1036017,-2.833203,-0.7,0.98,0.07
179880384.5,-9.152873,-3.0413861,-2.8092742,0.28,0.28,0.07
179880403.0,-9.114587,-3.101209,-2.861918,0.14,-0.63,0.0
179880422.2,-9.114587,-3.1299238,-2.759023,-0.77,-0.91,0.28
179880441.5,-9.100229,-3.125138,-2.8427749,-1.19,-0.42000002,0.63
179880460.8,-9.112194,-3.072494,-2.7566302,-1.4,0.21000001,0.21000001
179880480.0,-9.164838,-3.101209,-2.7805593,-0.98,0.42000002,-0.21000001
179880499.2,-9.11698,-3.122745,-2.7781663,0.14,0.35,0.21000001
179880518.5,-9.205518,-3.0629225,-2.8834543,-0.42000002,-0.49,0.49
179880537.8,-9.143302,-2.988742,-2.885847,-1.54,-1.75,-0.07
179880558.0,-9.112194,-3.125138,-2.811667,-1.96,-1.6800001,-0.91
179880577.5,-9.136123,-3.1921394,-2.7566302,-1.33,-0.56,-0.63
179880597.0,-9.136123,-3.098816,-2.8403819,-0.7,0.56,0.63
179880616.5,-9.078693,-3.0748868,-2.9073834,-0.42000002,1.05,1.19
179880635.0,-9.164838,-2.998314,-2.837989,-0.56,0.14,0.77
179880654.2,-9.136123,-3.0677083,-2.8786685,-1.05,-0.98,-0.07
179880673.5,-9.100229,-3.1107805,-2.7685947,-1.33,-1.54,-0.21000001
179880692.8,-9.162445,-3.1418884,-2.7685947,-0.84000003,-0.98,0.07
179880713.0,-9.13373,-3.122745,-2.759023,-0.63,0.07,0.35
179880732.5,-9.136123,-3.1155663,-2.8547394,-0.49,0.84000003,0.7
179880752.0,-9.105016,-3.0126712,-2.833203,-0.42000002,0.77,0.49
179880771.5,-9.126552,-3.0796728,-2.8714898,-0.77,0.0,0.07
179880791.0,-9.128944,-3.0677083,-2.835596,-0.77,-0.49,0.28
179880810.5,-9.136123,-3.070101,-2.8930259,-0.63,-0.77,0.35
179880830.0,-9.0978365,-3.0677083,-2.8786685,-0.49,-0.91,0.0
179880849.5,-9.121766,-3.1155663,-2.8284173,-0.91,-0.7,-0.28
179880868.0,-9.114587,-3.1873536,-2.7805593,-0.77,-0.07,0.0
179880887.2,-9.128944,-3.1442811,-2.9241338,-0.56,0.28,0.56
179880906.5,-9.15766,-3.0964231,-2.9360983,-0.84000003,-0.49,0.77
179880925.8,-9.119372,-3.0413861,-2.943277,-1.4,-1.75,0.21000001
179880946.0,-9.064336,-3.098816,-2.8284173,-1.54,-1.96,-0.42000002
179880965.5,-9.128944,-3.1036017,-2.7350938,-0.84000003,-1.19,-0.35
179880985.0,-9.140909,-3.1203523,-2.861918,-0.07,-0.28,0.21000001
179881004.5,-9.1480875,-3.0964231,-2.8523464,-0.28,-0.14,0.63
179881023.0,-9.119372,-3.0677083,-2.837989,0.14,-0.35,0.56
179881042.2,-9.119372,-3.0748868,-2.8571322,0.07,-0.42000002,0.49
179881061.5,-9.13373,-3.1347096,-2.8738825,-0.63,-0.42000002,0.7
179881080.8,-9.15766,-3.0557437,-2.7685947,-0.91,0.21000001,0.7
179881101.0,-9.162445,-3.0820656,-2.866704,-0.28,0.98,0.98
179881120.5,-9.124159,-3.1107805,-2.8714898,0.49,1.12,1.4
179881140.0,-9.107409,-3.046172,-2.9313123,-0.07,0.77,1.47
179881159.5,-9.073908,-3.0007067,-2.9719918,-0.35,0.0,0.91
179881178.0,-9.0978365,-3.0940301,-2.8978117,-1.33,-0.98,0.28
179881197.2,-9.107409,-3.0892444,-2.8786685,-2.45,-1.4,0.0
179881216.5,-9.102622,-3.0748868,-2.8044882,-2.8700001,-0.98,0.14
179881235.8,-9.095444,-3.098816,-2.81406,-2.1,-0.35,0.63
179881255.0,-9.136123,-3.0629225,-2.8978117,-1.4,0.07,0.91
179881274.2,-9.160052,-3.0150642,-2.9360983,-1.12,0.0,0.63
179881293.5,-9.13373,-3.048565,-2.9121692,-0.91,-0.35,0.07
179881312.8,-9.095444,-3.0868514,-2.9217408,-0.91,-0.91,-0.14
