timestamp,x,y,z,gx,gy,gz
179014758.0,-4.2115183,-3.5367181,8.279462,-13.65,0.0,-5.46
179014777.2,-4.917426,-2.5891266,8.978191,-14.7,-1.19,-5.04
179014796.5,-4.249805,-3.8166883,8.317748,-17.5,-3.5,-6.16
179014815.8,-4.288091,-3.7257578,8.389536,-12.88,-4.06,-4.34
179014835.0,-3.876511,-4.0440145,7.9875274,-5.18,-3.92,-0.49
179014854.2,-4.36945,-3.309392,8.557039,-1.4,-4.34,2.17
179014873.5,-4.0248713,-3.9100118,8.155031,2.73,-3.85,3.78
179014892.8,-4.268948,-3.6348274,8.487645,8.89,-2.45,6.3
179014913.0,-4.718815,-2.495803,9.088264,4.83,-0.84000003,3.01
179014932.5,-4.343128,-3.4170728,8.535503,-2.38,0.14,-1.33
179014952.0,-4.4101295,-3.720972,8.408679,-2.73,-0.07,-1.33
179014971.5,-4.3862004,-3.2974274,8.6048975,-2.73,-1.05,-0.98
179014991.0,-4.5967765,-4.0057282,8.566611,-2.45,-0.63,-0.91
179015010.5,-4.1564813,-3.6348274,8.365606,1.26,-0.35,0.56
179015030.0,-4.2976627,-3.462538,8.557039,2.24,-2.17,2.1
179015049.5,-4.2904844,-3.3165705,8.559432,0.84000003,-3.29,2.17
179015069.0,-4.2976627,-3.491253,8.502003,1.82,-2.31,2.45
179015088.5,-4.481917,-3.4194658,8.592933,3.71,-1.75,3.22
179015108.0,-4.544132,-3.0605295,8.77958,1.47,-2.03,2.31
179015127.5,-4.2282686,-3.4768956,8.528324,-1.26,-1.82,0.84000003
179015146.0,-4.3622713,-3.3548572,8.6048975,-1.26,-1.54,0.7
179015165.2,-4.2354474,-3.3548572,8.569004,-1.96,-1.89,0.42000002
179015184.5,-4.326378,-3.306999,8.60729,-2.31,-1.6800001,0.0
179015203.8,-4.376629,-3.4529665,8.569004,-0.98,-1.26,0.35
179015223.0,-4.3407354,-3.3740003,8.621648,0.14,-1.54,0.98
179015242.2,-4.371843,-3.122745,8.695828,-3.01,-1.26,-0.49
179015261.5,-4.326378,-3.22564,8.624041,-7.84,-0.91,-2.8
179015280.8,-4.1421237,-3.7185793,8.281855,-7.0,-0.91,-2.52
179015301.0,-4.094266,-3.6874714,8.34407,-3.15,-0.98,-0.7
179015320.5,-4.3646646,-3.3859649,8.612076,-0.91,-0.56,0.21000001
179015340.0,-4.2785196,-3.6874714,8.334499,0.42000002,-1.05,1.4
179015359.5,-4.5154176,-3.206497,8.707792,3.22,-2.52,3.78
179015378.0,-4.407737,-3.330928,8.674292,0.77,-3.3600001,3.15
179015397.2,-4.213911,-3.5702188,8.48286,-0.28,-2.38,2.03
179015416.5,-4.2904844,-3.48886,8.569004,1.05,-0.98,1.6800001
179015435.8,-4.2282686,-3.43143,8.583362,-1.05,-0.7,0.35
179015456.0,-4.3048415,-3.3620358,8.624041,-1.75,0.0,-0.63
179015475.5,-4.307235,-3.3668218,8.61447,-0.7,0.21000001,-0.49
179015495.0,-4.6278844,-2.7566302,8.906404,-4.27,0.14,-2.24
179015514.5,-4.2234826,-3.62047,8.423037,-8.47,0.98,-4.69
179015534.0,-4.319199,-3.5080032,8.487645,-8.4,2.45,-5.46
179015553.5,-4.288091,-3.4792883,8.576182,-9.66,2.8700001,-6.86
179015573.0,-4.139731,-3.5917552,8.478073,-10.29,3.92,-8.96
179015592.5,-4.0727296,-4.087087,8.260319,-9.45,2.94,-8.61
179015611.0,-4.2474117,-3.7568657,8.415857,-10.36,1.54,-7.91
179015630.2,-3.9411197,-3.9650488,8.095208,-6.3,1.54,-5.46
179015649.5,-4.5465255,-3.6132913,8.602505,-1.33,1.12,-2.31
179015668.8,-4.6039553,-3.4051082,8.712579,-2.52,-0.42000002,-1.26
179015689.0,-4.1971607,-3.8358316,8.334499,-5.39,-1.96,-1.6800001
179015708.5,-3.9698346,-4.0464077,8.068886,-3.15,-2.17,-0.21000001
179015728.0,-4.3335567,-3.7544727,8.5043955,1.26,-1.96,2.52
179015747.5,-4.051193,-4.1301594,8.219639,4.2,-2.1,4.27
179015766.0,-4.189982,-3.8693323,8.406286,9.31,-1.6800001,6.51
179015785.2,-4.4723454,-2.9648132,8.930333,2.8700001,-2.8,3.78
179015804.5,-4.4675593,-2.8212388,8.889653,-5.7400002,-0.56,-2.66
179015823.8,-4.175625,-4.0033355,8.219639,-7.35,0.91,-4.27
179015844.0,-4.1612673,-4.0248713,8.198103,-2.59,0.49,-1.6800001
179015863.5,-4.321592,-3.6228628,8.470895,0.84000003,-0.28,0.35
179015883.0,-4.1851964,-3.771223,8.322535,3.64,-0.28,2.1
179015902.5,-4.424487,-3.5056105,8.64797,6.23,-0.42000002,3.64
179015921.0,-4.2665553,-3.4960387,8.509181,1.6800001,-1.54,2.03
179015940.2,-4.3024487,-3.567826,8.492431,-0.14,-0.84000003,0.56
179015959.5,-4.189982,-3.9602628,8.229211,1.89,-0.14,1.26
179015978.8,-4.2737336,-3.5582542,8.513967,5.32,-0.07,2.94
179015999.0,-3.984192,-3.9961565,8.056922,10.22,0.0,4.97
179016018.5,-5.7190504,-2.3976939,9.648206,12.32,0.07,6.51
179016038.0,-4.0799084,-3.8956544,8.293819,5.81,-0.14,3.5
