timestamp,x,y,z,gx,gy,gz
181109300.0,-7.8750606,1.0313433,3.9482985,1.12,64.26,63.14
181109319.5,-6.3053126,0.6939433,3.3333209,2.73,72.66,62.09
181109339.0,-3.0820656,-1.0313433,1.7396442,-4.2,89.81,54.11
181109358.5,0.2656128,-3.0748868,0.4498667,11.76,137.97,28.98
181109377.0,-19.542881,1.1677392,24.869493,-206.08,63.07,-76.3
181109396.2,-15.673548,-12.6584835,14.457951,-97.3,19.74,-69.16
181109415.5,-7.9803486,10.299076,-4.8552103,30.03,-28.91,-35.98
181109434.8,-9.332341,-6.4967456,8.358428,-35.35,-29.47,-18.69
181109455.0,-8.226818,5.805195,2.0483294,-1.6800001,-34.86,-8.19
181109474.5,-9.325163,-1.61282,5.6113696,-13.37,-32.2,-3.85
181109494.0,-8.435001,2.9073834,4.357486,-7.56,-27.37,-1.61
181109513.5,-8.896832,0.53840435,5.130395,-0.21000001,-22.33,1.47
181109533.0,-8.671899,1.4405307,4.737958,-0.42000002,-16.45,3.99
181109552.5,-8.633613,1.6893932,4.8001738,3.5,-13.02,4.34
181109572.0,-8.808294,1.5458187,4.9078546,3.57,-10.29,3.15
181109591.5,-8.561825,1.7875023,4.6230984,0.42000002,-8.4,0.77
181109610.0,-8.616862,1.8808258,5.125609,-0.84000003,-4.76,-2.17
181109629.2,-8.76283,1.6750357,4.7259936,-1.4,-1.26,-3.5
181109648.5,-8.7389,1.6822144,4.874354,-1.61,1.75,-4.13
181109667.8,-8.877689,1.4883888,4.5895977,-1.33,2.94,-3.78
181109688.0,-8.968619,1.4740313,4.587205,-0.91,2.1,-2.17
181109707.5,-8.827438,1.3735292,4.4986672,-1.75,-0.49,-0.7
181109727.0,-8.638398,1.562569,4.544132,-3.08,-3.08,-1.54
181109746.5,-8.549861,1.8712541,4.9150333,-4.13,-2.8,-5.53
181109765.0,-8.7389,1.8162172,4.886318,-5.7400002,-0.7,-10.92
181109784.2,-8.6551485,1.3328499,4.9102473,-5.95,3.01,-12.88
181109803.5,-8.884868,1.1462029,4.874354,-4.48,6.02,-10.85
181109822.8,-8.920761,1.0217718,4.6733494,-2.59,7.42,-7.14
181109842.0,-8.815474,1.2490981,4.477131,-1.33,7.56,-3.64
